PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31171094","Transthyretin Amyloid Cardiomyopathy: JACC State-of-the-Art Review","Ruberg FL, Grogan M, Hanna M, Kelly JW, Maurer MS.","J Am Coll Cardiol. 2019 Jun 11;73(22):2872-2891. doi: 10.1016/j.jacc.2019.04.003.","Ruberg FL","J Am Coll Cardiol","2019","2019/06/08","PMC6724183","NIHMS1528736","10.1016/j.jacc.2019.04.003"
"32929754","Systemic amyloidosis from A (AA) to T (ATTR): a review","Muchtar E, Dispenzieri A, Magen H, Grogan M, Mauermann M, McPhail ED, Kurtin PJ, Leung N, Buadi FK, Dingli D, Kumar SK, Gertz MA.","J Intern Med. 2021 Mar;289(3):268-292. doi: 10.1111/joim.13169. Epub 2020 Sep 14.","Muchtar E","J Intern Med","2021","2020/09/15","","","10.1111/joim.13169"
"39571050","Cardiac amyloidosis","Laptseva N, Benz DC, Schwotzer R, Flammer AJ.","Swiss Med Wkly. 2024 Nov 14;154:4186. doi: 10.57187/s.4186.","Laptseva N","Swiss Med Wkly","2024","2024/11/21","","","10.57187/s.4186"
"29700090","Cardiac amyloidosis","Martinez-Naharro A, Hawkins PN, Fontana M.","Clin Med (Lond). 2018 Apr 1;18(Suppl 2):s30-s35. doi: 10.7861/clinmedicine.18-2-s30.","Martinez-Naharro A","Clin Med (Lond)","2018","2018/04/28","PMC6334035","","10.7861/clinmedicine.18-2-s30"
"34681575","Biomarkers in AL Amyloidosis","Fotiou D, Theodorakakou F, Kastritis E.","Int J Mol Sci. 2021 Oct 9;22(20):10916. doi: 10.3390/ijms222010916.","Fotiou D","Int J Mol Sci","2021","2021/10/23","PMC8536050","","10.3390/ijms222010916"
"39797879","The Last Decade in Cardiac Amyloidosis: Advances in Understanding Pathophysiology, Diagnosis and Quantification, Prognosis, Treatment Strategies, and Monitoring Response","Fontana M, Ioannou A, Cuddy S, Dorbala S, Masri A, Moon JC, Singh V, Clerc O, Hanna M, Ruberg F, Grogan M, Emdin M, Gillmore J.","JACC Cardiovasc Imaging. 2025 Apr;18(4):478-499. doi: 10.1016/j.jcmg.2024.10.011. Epub 2025 Jan 8.","Fontana M","JACC Cardiovasc Imaging","2025","2025/01/11","PMC12273739","NIHMS2094175","10.1016/j.jcmg.2024.10.011"
"35929637","Transthyretin cardiac amyloidosis","Porcari A, Fontana M, Gillmore JD.","Cardiovasc Res. 2023 Feb 3;118(18):3517-3535. doi: 10.1093/cvr/cvac119.","Porcari A","Cardiovasc Res","2023","2022/08/05","PMC9897687","","10.1093/cvr/cvac119"
"31607664","How to Image Cardiac Amyloidosis: A Practical Approach","Dorbala S, Cuddy S, Falk RH.","JACC Cardiovasc Imaging. 2020 Jun;13(6):1368-1383. doi: 10.1016/j.jcmg.2019.07.015. Epub 2019 Oct 11.","Dorbala S","JACC Cardiovasc Imaging","2020","2019/10/15","PMC7148180","NIHMS1544775","10.1016/j.jcmg.2019.07.015"
"32941304","Understanding and recognizing cardiac amyloidosis","McVeigh T, Tennyson C.","JAAPA. 2020 Oct;33(10):16-20. doi: 10.1097/01.JAA.0000697236.11386.3a.","McVeigh T","JAAPA","2020","2020/09/17","","","10.1097/01.JAA.0000697236.11386.3a"
"35524881","Imaging-Guided Treatment for Cardiac Amyloidosis","Ioannou A, Patel R, Gillmore JD, Fontana M.","Curr Cardiol Rep. 2022 Jul;24(7):839-850. doi: 10.1007/s11886-022-01703-7. Epub 2022 May 7.","Ioannou A","Curr Cardiol Rep","2022","2022/05/07","PMC9288365","","10.1007/s11886-022-01703-7"
